,list_name,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
56,Yash ke gaane,6CKoWCWAqEVWVjpeoJXyNH,Shape Of My Heart,Sting,72,1993-03-09,0.373,0.083,83.936,0.0331,0.691,0.000915,0.537,279227,-10.081,0.244,0,6
57,Yash ke gaane,1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads",John Denver,70,1971,0.395,0.121,82.259,0.0264,0.758,0.0,0.462,190160,-9.376,0.625,1,9
58,Yash ke gaane,1g2tPIP5isX44SNeDeqLsz,On A Day Like Today,Bryan Adams,30,1998-01-01,0.555,0.366,82.041,0.0257,0.102,0.0,0.475,208733,-8.693,0.36,1,7
59,Yash ke gaane,1OQpTtcuAauAqp5Okxtbs2,Summer Of '69 - MTV Unplugged Version,Bryan Adams,56,1997-01-01,0.598,0.977,141.11,0.031,0.331,0.0,0.469,241760,-7.791,0.419,1,9
60,Yash ke gaane,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas,77,1977,0.322,0.11,93.50299999999999,0.0283,0.36700000000000005,0.00056,0.475,206267,-10.687000000000001,0.387,1,7
61,Cyrus ne suggest kia,7stcuQtnHL7C6XdPvpwywv,Vertigo,Khalid,63,2018-10-19,0.45799999999999996,0.11699999999999999,115.98899999999999,0.0371,0.552,0.0257,0.48700000000000004,270413,-7.761,0.207,0,4
62,Cyrus ne suggest kia,2kAIpGWnlFLQh48iut6Zzq,Free Spirit,Khalid,74,2019-04-05,0.446,0.111,139.994,0.0332,0.308,0.0007700000000000001,0.627,182080,-9.477,0.11,0,2
63,Cyrus ne suggest kia,1fHRzxbts9A8J1ergDe7Kz,Saturday Nights,Khalid,67,2019-04-05,0.37,0.0986,83.162,0.0841,0.634,9.4e-05,0.574,211627,-10.802999999999999,0.354,1,10
64,Cyrus ne suggest kia,6l1VsKiMyaUWElFrM1rsuu,Saansein,Prateek Kuhad,56,2018-07-13,0.518,0.138,128.041,0.0282,0.653,0.531,0.693,266042,-9.146,0.374,1,1
65,Beats/EDM,1BwlamEsFRvFgnXAZNJFQA,"Khalifa (From ""Lekar Hum Deewana Dil"")",A.R. Rahman,13,2014-06-03,0.8859999999999999,0.10800000000000001,120.016,0.0525,0.0212,2.1600000000000003e-05,0.6940000000000001,303598,-5.132999999999999,0.623,1,7
66,Beats/EDM,22WubMzx5mkCAHZHvInkpH,Lalla Lalla Lori,Vishal Dadlani,39,2015-04-29,0.895,0.10400000000000001,124.95,0.0453,0.0947,0.0,0.638,257050,-3.255,0.7290000000000001,0,8
67,Beats/EDM,02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),R3HAB,78,2019-04-05,0.8590000000000001,0.105,124.948,0.033,0.479,0.0645,0.733,147840,-5.03,0.52,0,9
70,Beats/EDM,4499ZyhJG8CSNakFvUlQcz,Give Me Your Hand (Best Song Ever),The Ready Set,0,2014-05-27,0.889,0.685,125.99799999999999,0.0462,0.0466,0.0,0.69,228093,-3.279,0.892,1,6
73,Beats/EDM,51m9UJSULSzzpiJ1pTitgS,On Your Mind,Kevin Silvester,0,2019-06-21,0.7759999999999999,0.16,80.001,0.0583,0.0101,0.0,0.5670000000000001,226055,-4.696000000000001,0.35600000000000004,1,9
76,Beats/EDM,23FHa9lYnG6Dr8OzombPkS,Roots,Valerie Broussard,66,2019-08-16,0.785,0.177,122.99700000000001,0.037000000000000005,0.0643,1.34e-05,0.6829999999999999,184564,-4.879,0.581,1,7
86,Beats/EDM,6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,9,2019-07-24,0.505,0.0977,85.33200000000001,0.042,0.12,0.0,0.294,209893,-8.106,0.35700000000000004,1,3
87,Beats/EDM,3FWPoYBDserKdzcattMFGa,Roses (feat. ROZES),The Chainsmokers,62,2015-10-23,0.8079999999999999,0.225,100.03299999999999,0.0473,0.0299,0.00414,0.718,225813,-7.652,0.309,1,4
88,Beats/EDM,4TyroqnSj0YkpZ9rf2Skq7,Collide,Jake Miller,0,2013-11-05,0.6829999999999999,0.0679,127.93700000000001,0.0518,0.0122,0.00011,0.564,215587,-7.754,0.188,1,9
89,Beats/EDM,4G6A1vrOJC6pUwBhxfoSQS,Can't Help Myself,Jake Miller,47,2017-06-16,0.615,0.109,76.53,0.0506,0.209,0.0,0.6559999999999999,210000,-5.562,0.732,1,1
90,Beats/EDM,7wOqBOryVGD3nqDUihDSwL,Rumors,NEFFEX,73,2017-04-26,0.706,0.426,74.972,0.115,0.0603,2.75e-06,0.6729999999999999,247608,-8.4,0.516,1,8
97,Beats/EDM,3JfWag2CDEnst8uzV6nxvT,Get Wet - Radio Edit by Fly Records,Fly Project,18,2017-07-11,0.649,0.188,87.949,0.0981,0.0109,0.0,0.74,169091,-5.871,0.698,1,9
100,Beats/EDM,3biFdxByHgUhTbp2dG89zK,Dance Like We're Making Love,Ciara,54,2015-05-04,0.541,0.165,96.046,0.0659,0.063,4.47e-06,0.721,256600,-8.623,0.263,0,7
101,Beats/EDM,0GRoERSBBky3YgdKW2w2Vc,Brave,Don Diablo,64,2019-04-26,0.8740000000000001,0.134,119.85,0.0543,0.16899999999999998,1.77e-06,0.654,184027,-3.885,0.542,1,6
102,Beats/EDM,6PqUdUGS4h5aGY7YyEGXr8,All The Lies,Alok,68,2019-03-15,0.835,0.107,102.023,0.139,0.16699999999999998,0.0,0.611,179457,-4.107,0.672,1,6
103,Beats/EDM,30eirMgaGW0OpA3Yi8U4bL,I Still Remember (R3HAB Remix),Caroline Romano,51,2020-05-14,0.5770000000000001,0.642,124.00200000000001,0.0694,0.19,0.0,0.774,171774,-8.009,0.636,0,7
106,Beats/EDM,36orMWv2PgvnzXsd5CJ0yL,Post Malone (feat. RANI),Sam Feldt,75,2019-08-16,0.642,0.105,107.35600000000001,0.122,0.0771,0.0,0.59,174444,-3.87,0.6509999999999999,1,7
109,Beats/EDM,01TuObJVd7owWchVRuQbQw,#thatPOWER,will.i.am,67,2013-01-01,0.608,0.0748,127.999,0.0584,0.00112,7.659999999999999e-05,0.797,279507,-6.096,0.402,0,6
110,Beats/EDM,1HZ5LJMCzClg2pdomCnEPw,Dynamite - EDM Remix,BTS,55,2020-08-24,0.838,0.0961,122.985,0.0599,0.0019,0.444,0.7070000000000001,198939,-4.732,0.318,0,1
112,Random,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),Mike Perry,73,2016-04-15,0.575,0.10400000000000001,90.037,0.028999999999999998,0.0225,1.81e-06,0.632,183414,-6.478,0.188,1,5
114,Random,09IStsImFySgyp0pIQdqAc,The Middle,Zedd,82,2018-01-23,0.657,0.11199999999999999,107.01,0.0449,0.171,0.0,0.753,184732,-3.0610000000000004,0.43700000000000006,1,7
115,Random,3Uoe0ZdEy9lLrXj1HhXx9H,Fast Car,Jonas Blue,6,2018-11-09,0.578,0.312,113.945,0.0569,0.469,0.0,0.672,212424,-6.621,0.5479999999999999,1,9
118,Random,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,84,2016-07-29,0.524,0.111,95.01,0.0338,0.414,0.0,0.748,244960,-5.599,0.6609999999999999,1,8
119,Random,23L5CiUhw2jV1OIMwthR3S,In the Name of Love,Martin Garrix,78,2016-07-29,0.519,0.45399999999999996,133.99,0.0409,0.109,0.0,0.501,195707,-5.88,0.168,0,4
120,Random,3G2O60rq5a77GEIwK1mVmh,Make Me Yours,Borgeous,54,2018-07-20,0.615,0.124,127.904,0.0395,0.0124,1.33e-06,0.5770000000000001,195239,-6.084,0.174,0,7
121,Random,0dXNQ8dckG4eYfEtq9zcva,All Night,The Vamps,75,2017-07-14,0.804,0.33,144.99200000000002,0.0358,0.0041,0.0,0.5379999999999999,197640,-5.194,0.507,1,8
123,Random,0M0FvSNRZmDz0Z769rewlI,Fire In My Soul,Oliver Heldens,65,2018-10-26,0.977,0.0703,126.178,0.312,0.20600000000000002,0.000103,0.5920000000000001,175254,-3.389,0.496,1,6
124,Random,6h5PAsRni4IRlxWr6uDPTP,More Than You Know,Axwell /\ Ingrosso,79,2017-07-28,0.741,0.312,123.07700000000001,0.034,0.0275,0.0,0.6459999999999999,203000,-4.973,0.5710000000000001,0,5
125,Random,2rizacJSyD9S1IQUxUxnsK,All We Know (feat. Phoebe Ryan),The Chainsmokers,69,2016-09-29,0.586,0.115,90.0,0.0307,0.09699999999999999,0.0027199999999999998,0.662,194080,-8.821,0.29600000000000004,1,0
126,Random,2Hi2tWANUXtd1URtLYgwne,All Night - Acoustic,The Vamps,53,2017-08-04,0.62,0.205,152.034,0.037000000000000005,0.0601,0.0,0.55,183963,-5.348,0.42,1,5
127,Random,5AFMjlqAA0skXGqZHGZDxt,Perfect Strangers - Acoustic,Jonas Blue,55,2016-07-15,0.672,0.11199999999999999,117.943,0.0377,0.757,0.0,0.6609999999999999,191206,-4.292,0.609,1,0
128,Random,7tOAtB2F50KXEkw86frba6,Dancing On My Own - Acoustic,Calum Scott,59,2016-06-24,0.0784,0.151,117.964,0.0413,0.9540000000000001,1.54e-06,0.528,253482,-11.402000000000001,0.418,1,1
130,Random,6PkzXU8dlwtfrwyTlUyVnv,Show Me Love - EDX Remix / Radio Edit,Sam Feldt,66,2015-06-14,0.659,0.0704,121.022,0.0677,0.297,0.000811,0.8320000000000001,180336,-5.831,0.7120000000000001,1,0
131,Random,0aAVBcORefVNADGxgqh8XM,Getaway,Tritonal,44,2016-09-09,0.723,0.32299999999999995,128.138,0.0434,0.128,0.0,0.583,217499,-3.888,0.35100000000000003,0,6
132,Random,4QVS8YCpK71R4FsxSMCjhP,Tie Me Down (with Elley Duhé),Gryffin,66,2018-08-03,0.8390000000000001,0.102,98.932,0.0644,0.135,0.0,0.5479999999999999,218296,-2.371,0.314,1,6
133,Random,5JKU2tXiG3yvJtefNwe7ZQ,Touch,3LAU,54,2018-02-16,0.797,0.21,110.051,0.0499,0.0166,3.229999999999999e-05,0.5760000000000001,205773,-5.476,0.13699999999999998,0,11
134,Random,6ULQ6ZRc7JuVutRMy6gfgc,Feel Good,Felix Jaehn,60,2018-02-16,0.903,0.168,125.948,0.038,0.121,0.000123,0.7020000000000001,166947,-3.9210000000000003,0.66,1,4
135,Random,1I8tHoNBFTuoJAlh4hfVVE,Firestone,Kygo,77,2016-05-13,0.634,0.0952,113.927,0.0428,0.39299999999999996,3.17e-05,0.7040000000000001,271640,-7.374,0.41100000000000003,0,11
136,Random,1Sl3njkhhz8nrSPZroDQ82,Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,63,2017-07-28,0.8190000000000001,0.159,90.00399999999999,0.0313,0.191,0.0,0.6779999999999999,184248,-3.306,0.499,1,8
137,Random,2iUXsYOEPhVqEBwsqP70rE,Youngblood,5 Seconds of Summer,82,2018-06-15,0.8540000000000001,0.124,120.274,0.46299999999999997,0.0169,0.0,0.596,203418,-5.114,0.152,0,7
138,Random,43wzy7JxMEfvCh8ZFeZKYk,Right Now,Nick Jonas,67,2018-08-24,0.7509999999999999,0.0912,103.956,0.193,0.0104,0.0,0.597,201680,-4.982,0.568,0,6
139,Random,4cZ3UsiKd1kUQIaq4BFIj2,No One Compares To You,Jack & Jack,74,2019-01-25,0.748,0.0941,111.939,0.0434,0.127,0.0,0.7,182920,-6.044,0.631,1,1
140,Random,6TjP1C3sGQH1jBfzUXfcMg,Kamikaze,MØ,59,2015-10-15,0.878,0.32799999999999996,158.035,0.0646,0.0368,3.39e-06,0.6629999999999999,214240,-3.195,0.7040000000000001,0,1
141,Random,5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,75,2018-10-24,0.758,0.39399999999999996,144.107,0.0618,0.0954,0.0,0.575,182623,-5.029,0.493,0,1
143,Random,5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,83,2018-10-04,0.488,0.0936,136.041,0.0705,0.297,9.11e-06,0.752,201661,-7.05,0.5329999999999999,1,6
144,Random,2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,Lauv,84,2018-05-31,0.505,0.10400000000000001,91.97,0.253,0.535,2.55e-06,0.752,197437,-7.621,0.419,1,9
145,Random,5fKBwqSTuCbnJlCOpeRa3o,Sexual,NEIKED,66,2016,0.5670000000000001,0.0705,108.024,0.0651,0.0692,0.0,0.797,188889,-7.502999999999999,0.843,1,2
146,Random,4kWO6O1BUXcZmaxitpVUwp,Jackie Chan,Tiësto,75,2018-05-18,0.8340000000000001,0.0586,128.005,0.045,0.374,0.0,0.747,215760,-2.867,0.687,0,3
147,Random,5BIjJP1zlOa3iY65RSkXkr,Nevada (feat. Cozi Zuehlsdorff),Vicetone,0,2016-06-24,0.7829999999999999,0.133,124.015,0.0324,0.299,0.000175,0.605,208562,-4.271,0.105,1,3
148,Random,222B3aljXx6fFwKmFjuBED,Woman Like Me (feat. Nicki Minaj),Little Mix,75,2018-11-16,0.8540000000000001,0.0808,75.002,0.0608,0.177,0.0,0.754,229720,-3.449,0.8,0,5
149,Random,3u1S1OmAUhx5DRlLrXqyp3,Rise,Jonas Blue,73,2018-05-25,0.784,0.203,106.066,0.032,0.32299999999999995,0.0,0.69,194408,-4.6530000000000005,0.669,1,1
150,Random,7uoulrMQgFZFAIEpRPvewL,Sledgehammer,Fifth Harmony,37,2014,0.777,0.0783,99.98,0.046,0.0057,0.0011,0.6709999999999999,230907,-4.322,0.289,1,2
151,Random,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,77,2016-05-27,0.585,0.0644,105.01700000000001,0.0432,0.10300000000000001,3.94e-06,0.8029999999999999,214480,-5.861000000000001,0.593,1,8
152,Random,60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,74,2012-01-01,0.7809999999999999,0.0749,128.0,0.07200000000000001,0.0398,0.0,0.509,271427,-3.48,0.17600000000000002,1,8
153,Random,20axU6S5zq8dMpQBVZSCe3,Untameable,Rachel Varghese,30,2019-01-28,0.7440000000000001,0.0784,84.98899999999999,0.0414,0.47700000000000004,0.0,0.612,178588,-5.715,0.506,0,11
154,Random,65SgMuyu8DvMBzLcE1D0sP,I Don't Do Love Anymore,Medha Sahi,42,2019-01-28,0.23399999999999999,0.14,129.504,0.0281,0.9179999999999999,5.64e-06,0.5920000000000001,166615,-8.82,0.354,1,2
155,Random,3tYI3GE47dvrqCvmrh1KYQ,Myself,Medha Sahi,41,2019-01-28,0.47,0.121,119.99600000000001,0.0289,0.523,0.0224,0.6729999999999999,204750,-8.138,0.257,1,2
157,Random,3dz63QjQVZy7RYPzx6l3JU,Your Side Of The Bed (feat. Eric Nam),Loote,44,2018-06-22,0.764,0.294,109.919,0.0312,0.14400000000000002,0.0,0.754,196160,-3.95,0.929,1,8
158,Random,01cqobPyx3edvUqwNKV503,Cross Me,Vibe2Vibe,16,2019-06-25,0.731,0.0705,94.99799999999999,0.19899999999999998,0.23199999999999998,0.0,0.809,210327,-8.487,0.6809999999999999,0,8
159,Random,7dOeiXeTSfA1ixaYmQcWu7,Rich Love (with Seeb),OneRepublic,66,2017-07-14,0.872,0.36200000000000004,104.59200000000001,0.314,0.16699999999999998,0.0,0.401,201257,-3.641,0.47200000000000003,0,1
161,Random,5NQJnRpJHRaupdegphntQT,Jealous - Remix,Nick Jonas,68,2015-11-20,0.71,0.444,93.007,0.0779,0.0132,0.0,0.684,222187,-3.614,0.451,0,11
162,Random,33DzKnwuBE6lfOiADwzd5E,TOOTIMETOOTIMETOOTIME,The 1975,65,2018-11-30,0.8240000000000001,0.0933,114.99799999999999,0.0665,0.177,0.0152,0.667,207851,-5.867000000000001,0.518,1,8
164,Random,7shgdEooY9RdGuMM71SRax,You Don't Know Me,Kevin Silvester,9,2019-04-17,0.713,0.266,179.838,0.212,0.0319,0.0,0.42100000000000004,239297,-5.476,0.319,1,11
165,Random,2QWP8NYYplOqEFBYGCcq0S,Rain,The Script,63,2017-09-01,0.586,0.35600000000000004,93.02,0.107,0.24100000000000002,0.0,0.6890000000000001,209347,-7.61,0.611,1,6
166,Random,410smJMzhna1ADC2ldqVHu,Hoodie,Hey Violet,65,2017-06-16,0.6990000000000001,0.391,94.935,0.0445,0.0126,6.16e-06,0.688,219183,-5.0,0.385,1,11
168,Random,5H9H0i7UCmRDCZRHldbmhN,Sucker for You,Matt Terry,56,2017-10-13,0.649,0.332,95.03399999999999,0.0691,0.223,0.0,0.8759999999999999,203680,-4.369,0.742,1,0
169,Random,4F7xiv8waD97haoBAlldPH,NIKES,Jake Miller,41,2019-06-28,0.754,0.442,120.001,0.0346,0.174,0.0,0.716,214300,-6.8260000000000005,0.69,0,7
171,Random,10AsRVRdU07cMAFHeGYO3c,Solo Dance,Martin Jensen,69,2016-11-04,0.846,0.195,114.955,0.048,0.0485,0.0,0.746,174933,-2.432,0.40299999999999997,1,9
