,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
51,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,83,2018-10-04,0.488,0.0936,136.041,0.0705,0.297,9.11e-06,0.752,201661,-7.05,0.533,1,6
52,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,44n97yHySt0Z9rqPaXgjCK,Sorry,Halsey,76,2017-06-02,0.25,0.117,74.103,0.0367,0.913,0,0.513,220541,-9.376,0.351,0,5
53,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,2usxQITOSDqvkYiI0oIwao,You should be sad,Halsey,7,2020-01-10,0.585,0.109,110.94,0.0277,0.143,0,0.591,205473,-6.35,0.324,1,2
54,6,6i8EYmssztVH8eVygwMBML,Yash ke gaane,6i8EYmssztVH8eVygwMBML,1emx944EiuTphS9qv5mslc,Tears In Heaven,Boyce Avenue,49,2015-04-28,0.0926,0.112,77.934,0.0307,0.921,0,0.748,280652,-11.531,0.327,1,8
55,6,6i8EYmssztVH8eVygwMBML,Yash ke gaane,6i8EYmssztVH8eVygwMBML,2jdAk8ATWIL3dwT47XpRfu,Slow Dancing in a Burning Room,John Mayer,74,2006-09-11,0.361,0.0805,134.15,0.0273,0.573,0.00506,0.668,242000,-8.69,0.288,0,1
56,6,6i8EYmssztVH8eVygwMBML,Yash ke gaane,6i8EYmssztVH8eVygwMBML,6CKoWCWAqEVWVjpeoJXyNH,Shape Of My Heart,Sting,72,1993-03-09,0.373,0.083,83.936,0.0331,0.691,0.000915,0.537,279227,-10.081,0.244,0,6
57,6,6i8EYmssztVH8eVygwMBML,Yash ke gaane,6i8EYmssztVH8eVygwMBML,1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads",John Denver,70,1971,0.395,0.121,82.259,0.0264,0.758,0,0.462,190160,-9.376,0.625,1,9
58,6,6i8EYmssztVH8eVygwMBML,Yash ke gaane,6i8EYmssztVH8eVygwMBML,1g2tPIP5isX44SNeDeqLsz,On A Day Like Today,Bryan Adams,30,1998-01-01,0.555,0.366,82.041,0.0257,0.102,0,0.475,208733,-8.693,0.36,1,7
59,6,6i8EYmssztVH8eVygwMBML,Yash ke gaane,6i8EYmssztVH8eVygwMBML,1OQpTtcuAauAqp5Okxtbs2,Summer Of '69 - MTV Unplugged Version,Bryan Adams,56,1997-01-01,0.598,0.977,141.11,0.031,0.331,0,0.469,241760,-7.791,0.419,1,9
60,6,6i8EYmssztVH8eVygwMBML,Yash ke gaane,6i8EYmssztVH8eVygwMBML,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas,77,1977,0.322,0.11,93.503,0.0283,0.367,0.00056,0.475,206267,-10.687,0.387,1,7
61,7,09Hn3imEa0xXpczlWVVTwW,Cyrus ne suggest kia,09Hn3imEa0xXpczlWVVTwW,7stcuQtnHL7C6XdPvpwywv,Vertigo,Khalid,63,2018-10-19,0.458,0.117,115.989,0.0371,0.552,0.0257,0.487,270413,-7.761,0.207,0,4
62,7,09Hn3imEa0xXpczlWVVTwW,Cyrus ne suggest kia,09Hn3imEa0xXpczlWVVTwW,2kAIpGWnlFLQh48iut6Zzq,Free Spirit,Khalid,74,2019-04-05,0.446,0.111,139.994,0.0332,0.308,0.00077,0.627,182080,-9.477,0.11,0,2
63,7,09Hn3imEa0xXpczlWVVTwW,Cyrus ne suggest kia,09Hn3imEa0xXpczlWVVTwW,1fHRzxbts9A8J1ergDe7Kz,Saturday Nights,Khalid,67,2019-04-05,0.37,0.0986,83.162,0.0841,0.634,9.4e-05,0.574,211627,-10.803,0.354,1,10
