,list_name,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
119,Cringe,6XnikZPkb059iYTuCjZt1X,Roller Coaster,OMI,46.0,2020-11-13,0.797,0.0975,115.012,0.0315,0.278,0.0,0.698,196302.0,-5.147,0.859,1.0,0.0
123,Cringe,2jGOQqWZKjy6A64kWIcdIs,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",Felix Jaehn,51.0,2018-02-16,0.722,0.117,109.992,0.0377,0.077,4.54e-06,0.809,179565.0,-4.953,0.538,1.0,7.0
124,Halsey inducing palsey,5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),G-Eazy,76.0,2017-12-15,0.731,0.308,87.908,0.0868,0.0534,0.0,0.589,268867.0,-6.343,0.191,1.0,2.0
125,Halsey inducing palsey,1TnUURhehaoMWKAqQtirm6,Colors,Halsey,69.0,2015-08-28,0.812,0.092,100.02,0.0617,0.0534,0.0,0.512,249500.0,-4.809,0.521,1.0,1.0
126,Halsey inducing palsey,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,Halsey,74.0,2017-06-02,0.751,0.0893,118.384,0.0296,0.0604,0.0,0.675,181279.0,-3.539,0.612,1.0,0.0
127,Halsey inducing palsey,6s8PRmROPJHlqZmu9Bbviz,Roman Holiday,Halsey,55.0,2015-08-28,0.836,0.105,74.473,0.0395,0.0322,2.34e-05,0.431,201549.0,-4.428,0.75,1.0,5.0
128,Halsey inducing palsey,16w8ZGVSjI4TlTLV8VimBY,Castle,Halsey,68.0,2015-08-28,0.571,0.0946,129.959,0.0327,0.25,0.0,0.626,277623.0,-7.461,0.164,0.0,7.0
129,Halsey inducing palsey,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,83.0,2019-04-12,0.862,0.192,119.991,0.0965,0.0923,0.0,0.645,229773.0,-4.757,0.798,0.0,11.0
130,Halsey inducing palsey,7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,Halsey,68.0,2017-06-02,0.585,0.131,110.03,0.0354,0.107,1.11e-06,0.67,214802.0,-4.861,0.447,0.0,6.0
133,Halsey inducing palsey,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,85.0,2016-07-29,0.524,0.111,95.01,0.0338,0.414,0.0,0.748,244960.0,-5.599,0.661,1.0,8.0
