,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
444,Hunter Hayes,Heartbreak - Dzeko Remix,200357,2020-06-08 08:11:00,0.655,0.903,11.0,-5.41,1.0,0.245,0.287,1.03e-06,0.42,0.416,112.074,1p0iLL4k4x06Tstaf0njKV,4.0
446,Andy Grammer,Don’t Give Up On Me,196187,2020-06-08 08:17:00,0.64,0.537,0.0,-5.452,0.0,0.0282,0.0875,9.84e-06,0.11,0.0676,112.868,0fiijtFXDJ9MOVwgSaEQJ5,4.0
447,Dan + Shay,Speechless (feat. Tori Kelly),208960,2020-06-08 08:20:00,0.562,0.383,6.0,-6.063,1.0,0.0337,0.664,0.0,0.259,0.497,135.15,7nsOsdlqa9Srr1LBYyd9pC,4.0
449,Brett Young,Chapters,237106,2020-06-08 08:28:00,0.589,0.613,11.0,-6.816,1.0,0.0379,0.179,0.0,0.0967,0.643,81.015,1B4kH07ncrQh2pNDV6P60P,4.0
450,Mitchell Tenpenny,Drunk Me - R3HAB Remix,101108,2020-06-08 08:30:00,0.659,0.905,2.0,-3.113,1.0,0.144,0.0957,0.0,0.229,0.382,100.009,3kwL8x4afaomYsX3d4cmPL,4.0
488,Gabriel Elias,Fiz Esse Som Pra Você - Ralk Remix,121415,2020-06-11 15:17:00,0.76,0.619,1.0,-8.38,0.0,0.0464,0.00256,3.52e-05,0.294,0.538,125.052,08E0nvXBTp8ayyOaXwEtue,4.0
544,The Magician,You and Me,25082,2020-06-15 11:40:00,0.459,0.427,7.0,-7.734,1.0,0.0267,0.114,0.0,0.168,0.354,139.902,0815caqt2Lytro5EIzMufT,3.0
545,Frankie Knuckles,The Whistle Song - Re-Directed,162975,2020-06-15 11:42:00,0.707,0.86,0.0,-6.188,1.0,0.033,0.00324,0.901,0.105,0.387,126.013,6wD0LWjn3WZMdLqatEc5vM,4.0
547,Kasbo,The Voice Says (feat. Charlie Kim),225206,2020-06-15 11:50:00,0.191,0.563,4.0,-7.472,1.0,0.0344,0.565,0.0061,0.17,0.0541,146.287,05INdkUo3Fw9ojWbyuMOsR,4.0
548,Ryan Brahms,When I Was Me - ShiShi Remix,197333,2020-06-15 11:53:00,0.407,0.722,6.0,-5.44,1.0,0.094,0.0658,0.0,0.115,0.392,88.017,6HoXpEnhzeDpz7gYgGaYF0,4.0
549,Elderbrook,Numb,230040,2020-06-15 11:57:00,0.496,0.863,9.0,-4.153,1.0,0.0381,0.0046,0.0,0.639,0.243,110.018,2nLtzopw4rPReszdYBJU6h,4.0
550,Clams Casino,I'm God,277710,2020-06-15 12:02:00,0.529,0.641,2.0,-6.78,1.0,0.0336,0.0711,0.76,0.102,0.089,141.927,0FVuyC9RP5MACjp4lgU3qZ,4.0
552,Diviners,Savannah,208698,2020-06-15 12:10:00,0.652,0.776,0.0,-3.133,1.0,0.0392,0.373,1.32e-06,0.0392,0.387,108.077,61lDxV5pn2UdumqMpdxCKG,4.0
553,Frost,Overtones,154850,2020-06-15 12:13:00,0.683,0.826,6.0,-7.726,0.0,0.0409,0.0938,0.762,0.14,0.182,123.04,3fZo9f1RF24iMVBaC6fAiA,4.0
555,Jody Wisternoff,Nightwhisper,217000,2020-06-15 12:20:00,0.674,0.894,1.0,-6.386,1.0,0.0341,0.0013,0.915,0.165,0.141,119.962,3SYO8wU4bEgIYt7AeGRIwG,4.0
556,Shallou,Endless,227586,2020-06-15 12:24:00,0.483,0.268,10.0,-11.809,1.0,0.0257,0.866,0.0163,0.145,0.182,93.47,5iwyLsQ5yjnCaRrJGyAPZM,4.0
557,Prince Fox,Rock Paper Scissors,186625,2020-06-15 12:27:00,0.676,0.856,7.0,-4.744,0.0,0.348,0.441,2.99e-06,0.128,0.578,145.101,0vtSTtIstUrl8UNzE97syS,4.0
