,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
39,benny blanco,Eastside (with Halsey & Khalid),139818,2020-05-29 14:21:00,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,0d2iYfpKoM0QCKvcLCkBao,4.0
40,Justin Bieber,Intentions (feat. Quavo),189441,2020-05-29 14:24:00,0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986,4umIPjkehX1r7uhmGvXiSV,4.0
41,Alessia Cara,Ready,167416,2020-05-29 14:27:00,0.613,0.764,2.0,-6.509,1.0,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,4.0
42,Mabel,Mad Love,155934,2020-05-29 14:29:00,0.623,0.796,0.0,-2.981,0.0,0.199,0.659,0.0,0.115,0.607,197.524,6ImEBuxsbuTowuHmg3Z2FO,4.0
43,Liam Payne,Stack It Up (feat. A Boogie Wit da Hoodie),159655,2020-05-29 14:32:00,0.743,0.812,7.0,-3.069,1.0,0.132,0.153,0.0,0.0642,0.606,100.047,1xU2QZ40MY4Ex2pfczZa9U,4.0
44,Niall Horan,No Judgement,170400,2020-05-29 14:34:00,0.723,0.726,1.0,-3.835,0.0,0.0472,0.0564,0.000126,0.057,0.962,100.051,5IUOU5xkzGHsRFOYNu3GSK,4.0
45,Galantis,Bones (feat. OneRepublic),197200,2020-05-29 14:38:00,0.659,0.804,0.0,-5.735,1.0,0.0381,0.00463,0.0,0.178,0.506,120.041,53Ji6ZvVjsBl4pIuiETfhN,4.0
46,Little Mix,Woman Like Me (feat. Nicki Minaj),212212,2020-05-29 14:42:00,0.754,0.854,5.0,-3.449,0.0,0.0608,0.177,0.0,0.0808,0.8,75.002,222B3aljXx6fFwKmFjuBED,4.0
47,Ed Sheeran,I Don't Care (with Justin Bieber),207859,2020-05-29 14:45:00,0.798,0.676,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956,0hVXuCcriWRGvwMV1r5Yn9,4.0
48,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),180514,2020-05-29 14:48:00,0.61,0.83,0.0,-4.105,1.0,0.0571,0.033,0.0,0.118,0.728,182.162,2Rk4JlNc2TPmZe2af99d45,4.0
49,Camila Cabello,Liar,177934,2020-05-29 14:51:00,0.74,0.498,11.0,-6.684,0.0,0.0456,0.0169,0.00282,0.319,0.652,98.016,7LzouaWGFCy4tkXDOOnEyM,4.0
50,Sam Smith,I’m Ready (with Demi Lovato),198416,2020-05-29 14:55:00,0.501,0.674,5.0,-6.363,1.0,0.0408,0.00346,3.56e-05,0.282,0.152,155.051,1fipvP2zmef6vN2IwXfJhY,4.0
51,Bastille,Another Place,192774,2020-05-29 14:58:00,0.685,0.742,8.0,-5.409,1.0,0.0471,0.22,0.0,0.185,0.618,115.008,2Fn4gZI3MAeWTiv7cSVxZQ,4.0
52,Selena Gomez,Feel Me,214643,2020-05-29 15:02:00,0.71,0.808,2.0,-6.703,0.0,0.0433,0.44,0.000773,0.0734,0.392,99.989,6XXYdF6pJR1K3wKvuxmu7n,4.0
53,Dan + Shay,"10,000 Hours (with Justin Bieber)",160216,2020-05-29 15:05:00,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa,4.0
54,Kygo,Like It Is,176644,2020-05-29 15:08:00,0.794,0.728,1.0,-6.759,1.0,0.114,0.121,8.82e-06,0.227,0.36,105.024,3frUvGrmGcay91lvFbOgsN,4.0
55,Madison Beer,Dear Society,158951,2020-05-29 15:11:00,0.65,0.594,7.0,-6.374,0.0,0.0492,0.161,0.0,0.133,0.416,145.944,0L1IszgjzIZRBENyHJTQms,4.0
56,Rita Ora,Let You Love Me,180821,2020-05-29 15:14:00,0.521,0.861,10.0,-3.138,1.0,0.319,0.261,0.0,0.0682,0.473,191.618,0Hijswm0F2WNL0vN5e4CyE,4.0
57,Martin Garrix,No Sleep (feat. Bonn),60004,2020-05-29 15:15:00,0.44,0.635,11.0,-6.385,1.0,0.0326,0.129,0.0,0.121,0.327,128.133,1ahVFh0ViDZr8LvkEVlq3B,4.0
58,Unknown Artist,Unknown Track,0,2020-05-29 16:53:00,0.5,0.391,1.0,-16.691,1.0,0.0386,0.019,0.771,0.139,0.0506,126.949,4kAIL78sPF4Rh7lmZUz5hB,4.0
59,Tony Teff,Savage Love,2577,2020-05-29 16:59:00,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c,4.0
60,Jawsh 685,Laxed - Siren Beat,2577,2020-05-29 17:14:00,0.736,0.62,0.0,-8.481,0.0,0.11,0.0577,0.692,0.318,0.959,150.026,3BJiF37kmX4HCfYSO7qBnQ,4.0
61,JP Cooper,The Reason Why,50915,2020-05-29 17:20:00,0.638,0.757,8.0,-6.286,1.0,0.0386,0.00522,0.0,0.0794,0.311,81.552,0qpkkotJY99wDV5jBGdDMn,4.0
62,JP Cooper,The Reason Why,141202,2020-05-30 06:45:00,0.638,0.757,8.0,-6.286,1.0,0.0386,0.00522,0.0,0.0794,0.311,81.552,0qpkkotJY99wDV5jBGdDMn,4.0
