,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3425,clementine,2020-04-19 15:49,Halsey,clementine,234410,2020-04-19 15:49:00,0.533,0.437,3,-7.659,0,0.162,0.885,0.0,0.106,0.48,143.263,audio_features,7ozvM98YyrdyOBh1lItVHc,spotify:track:7ozvM98YyrdyOBh1lItVHc,https://api.spotify.com/v1/tracks/7ozvM98YyrdyOBh1lItVHc,https://api.spotify.com/v1/audio-analysis/7ozvM98YyrdyOBh1lItVHc,234411,3
3426,Without Me,2020-04-19 15:50,Halsey,Without Me,72286,2020-04-19 15:50:00,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,5p7ujcrUXASCNwRaWNHR1C,spotify:track:5p7ujcrUXASCNwRaWNHR1C,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,201661,4
3427,Jump (with Trippie Redd),2020-04-19 19:03,Julia Michaels,Jump (with Trippie Redd),15862,2020-04-19 19:03:00,0.654,0.547,10,-6.598,1,0.127,0.25,0.0,0.0961,0.507,173.981,audio_features,2OvV4NjEBRE9v8Oo7QeUCq,spotify:track:2OvV4NjEBRE9v8Oo7QeUCq,https://api.spotify.com/v1/tracks/2OvV4NjEBRE9v8Oo7QeUCq,https://api.spotify.com/v1/audio-analysis/2OvV4NjEBRE9v8Oo7QeUCq,207857,4
3428,Love Is Madness (feat. Halsey),2020-04-19 19:07,Thirty Seconds To Mars,Love Is Madness (feat. Halsey),234866,2020-04-19 19:07:00,0.382,0.675,0,-6.56,1,0.0441,0.0128,0.000246,0.219,0.449,106.171,audio_features,04CyO54TZk5tEylFg2Df41,spotify:track:04CyO54TZk5tEylFg2Df41,https://api.spotify.com/v1/tracks/04CyO54TZk5tEylFg2Df41,https://api.spotify.com/v1/audio-analysis/04CyO54TZk5tEylFg2Df41,234867,1
3429,Forget to Forget,2020-04-19 19:09,SHY Martin,Forget to Forget,153577,2020-04-19 19:09:00,0.685,0.508,0,-6.4,1,0.0987,0.193,0.0,0.139,0.315,99.063,audio_features,5sIx4BlfYGuZeSLF40N9GH,spotify:track:5sIx4BlfYGuZeSLF40N9GH,https://api.spotify.com/v1/tracks/5sIx4BlfYGuZeSLF40N9GH,https://api.spotify.com/v1/audio-analysis/5sIx4BlfYGuZeSLF40N9GH,217287,4
3430,So Close,2020-04-19 19:12,NOTD,So Close,6223,2020-04-19 19:12:00,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-06,0.103,0.761,125.03,audio_features,7FjZU7XFs7P9jHI9Z0yRhK,spotify:track:7FjZU7XFs7P9jHI9Z0yRhK,https://api.spotify.com/v1/tracks/7FjZU7XFs7P9jHI9Z0yRhK,https://api.spotify.com/v1/audio-analysis/7FjZU7XFs7P9jHI9Z0yRhK,190302,4
3431,Leave,2020-04-19 19:12,Borgeous,Leave,189400,2020-04-19 19:12:00,0.62,0.778,8,-4.622,0,0.0724,0.116,0.0,0.312,0.386,147.012,audio_features,3zIG0WuI5RoJsFYnErkFDU,spotify:track:3zIG0WuI5RoJsFYnErkFDU,https://api.spotify.com/v1/tracks/3zIG0WuI5RoJsFYnErkFDU,https://api.spotify.com/v1/audio-analysis/3zIG0WuI5RoJsFYnErkFDU,227413,4
3432,South of the Border (feat. Camila Cabello & Cardi B),2020-04-19 19:16,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),190687,2020-04-19 19:16:00,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,audio_features,4vUmTMuQqjdnvlZmAH61Qk,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,https://api.spotify.com/v1/tracks/4vUmTMuQqjdnvlZmAH61Qk,https://api.spotify.com/v1/audio-analysis/4vUmTMuQqjdnvlZmAH61Qk,204467,4
3433,Ritual,2020-04-19 19:19,Tiësto,Ritual,188738,2020-04-19 19:19:00,0.647,0.726,3,-4.389,0,0.0552,0.157,0.0,0.0844,0.767,114.996,audio_features,3M9Apu4OZfylLTFKvgEtKa,spotify:track:3M9Apu4OZfylLTFKvgEtKa,https://api.spotify.com/v1/tracks/3M9Apu4OZfylLTFKvgEtKa,https://api.spotify.com/v1/audio-analysis/3M9Apu4OZfylLTFKvgEtKa,198996,4
3434,Graveyard,2020-04-19 19:21,Halsey,Graveyard,152874,2020-04-19 19:21:00,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,audio_features,2ufmtcIFdFpuUYBPXK5f67,spotify:track:2ufmtcIFdFpuUYBPXK5f67,https://api.spotify.com/v1/tracks/2ufmtcIFdFpuUYBPXK5f67,https://api.spotify.com/v1/audio-analysis/2ufmtcIFdFpuUYBPXK5f67,181806,4
