,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Panini,0.717,0.598,5,-5.613,0,0.0809,0.22,0,0.122,0.496,153.905,audio_features,4SDgTLDYrJ2UrHbkRkg7MD,spotify:track:4SDgTLDYrJ2UrHbkRkg7MD,https://api.spotify.com/v1/tracks/4SDgTLDYrJ2UrHbkRkg7MD,https://api.spotify.com/v1/audio-analysis/4SDgTLDYrJ2UrHbkRkg7MD,151040,4
"Nachan Nu Jee Karda (From ""Angrezi Medium"")",0.932,0.902,1,-1.947,1,0.101,0.013,7.13e-06,0.0638,0.653,110.007,audio_features,2zQeAeH3q0K7U2AWEcVOsF,spotify:track:2zQeAeH3q0K7U2AWEcVOsF,https://api.spotify.com/v1/tracks/2zQeAeH3q0K7U2AWEcVOsF,https://api.spotify.com/v1/audio-analysis/2zQeAeH3q0K7U2AWEcVOsF,167947,4
Sab Fade Jange,0.625,0.792,9,-3.062,0,0.0952,0.0322,0,0.124,0.751,171.997,audio_features,3WYqejjKyqTVa8FX5ZyMau,spotify:track:3WYqejjKyqTVa8FX5ZyMau,https://api.spotify.com/v1/tracks/3WYqejjKyqTVa8FX5ZyMau,https://api.spotify.com/v1/audio-analysis/3WYqejjKyqTVa8FX5ZyMau,247010,4
Moonlit Sky (with the Void Pacific Choir),0.468,0.678,6,-7.328,0,0.081,0.142,0.00164,0.227,0.0714,123.968,audio_features,7F6fM3HniG3sC4LAv5WZIl,spotify:track:7F6fM3HniG3sC4LAv5WZIl,https://api.spotify.com/v1/tracks/7F6fM3HniG3sC4LAv5WZIl,https://api.spotify.com/v1/audio-analysis/7F6fM3HniG3sC4LAv5WZIl,248345,4
"Raabta (Title Track) [From ""Raabta""]",0.636,0.701,5,-6.825,1,0.0363,0.414,0,0.106,0.352,113.877,audio_features,4e9dIemIXO8Tzg0k4aWujk,spotify:track:4e9dIemIXO8Tzg0k4aWujk,https://api.spotify.com/v1/tracks/4e9dIemIXO8Tzg0k4aWujk,https://api.spotify.com/v1/audio-analysis/4e9dIemIXO8Tzg0k4aWujk,297158,4
"Kuch Dino Se Zindagi (From ""What the Folks Season 1"")",0.717,0.377,5,-8.938,1,0.0302,0.769,1.72e-06,0.114,0.601,105.946,audio_features,0TMuZd5C7t0XVHBcpFHeDD,spotify:track:0TMuZd5C7t0XVHBcpFHeDD,https://api.spotify.com/v1/tracks/0TMuZd5C7t0XVHBcpFHeDD,https://api.spotify.com/v1/audio-analysis/0TMuZd5C7t0XVHBcpFHeDD,261997,4
When We Were Young,0.377,0.595,3,-5.936,1,0.0489,0.303,0,0.095,0.264,144.464,audio_features,0cj2joJcY6b4XSRfj2eZOl,spotify:track:0cj2joJcY6b4XSRfj2eZOl,https://api.spotify.com/v1/tracks/0cj2joJcY6b4XSRfj2eZOl,https://api.spotify.com/v1/audio-analysis/0cj2joJcY6b4XSRfj2eZOl,290900,4
Don’t Give Up On Me Now (with Julie Bergan),0.687,0.706,4,-5.357,1,0.0459,0.091,0,0.124,0.27,115.268,audio_features,46W9iEjOg5nkMvb6lo4Jwz,spotify:track:46W9iEjOg5nkMvb6lo4Jwz,https://api.spotify.com/v1/tracks/46W9iEjOg5nkMvb6lo4Jwz,https://api.spotify.com/v1/audio-analysis/46W9iEjOg5nkMvb6lo4Jwz,127826,4
Pretend,0.412,0.305,4,-8.024,1,0.0376,0.888,0,0.066,0.313,109.439,audio_features,05emejcDubPXW5TQv34QZH,spotify:track:05emejcDubPXW5TQv34QZH,https://api.spotify.com/v1/tracks/05emejcDubPXW5TQv34QZH,https://api.spotify.com/v1/audio-analysis/05emejcDubPXW5TQv34QZH,207805,5
None Of My Business,0.793,0.488,2,-5.807,0,0.0462,0.428,0,0.0823,0.5,133.957,audio_features,2SPEg45ZaUFJCg9GwNmRvw,spotify:track:2SPEg45ZaUFJCg9GwNmRvw,https://api.spotify.com/v1/tracks/2SPEg45ZaUFJCg9GwNmRvw,https://api.spotify.com/v1/audio-analysis/2SPEg45ZaUFJCg9GwNmRvw,184005,4
Love Me Loud (feat. Aleesia),0.653,0.837,3,-4.803,1,0.0285,0.0681,0.0178,0.192,0.255,121.97,audio_features,4TvTkhgS5O57dyAtJAK8ME,spotify:track:4TvTkhgS5O57dyAtJAK8ME,https://api.spotify.com/v1/tracks/4TvTkhgS5O57dyAtJAK8ME,https://api.spotify.com/v1/audio-analysis/4TvTkhgS5O57dyAtJAK8ME,215479,4
Blind,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
Meant to Be (feat. Florida Georgia Line),0.642,0.772,10,-6.61,1,0.0848,0.0476,0,0.0646,0.589,153.995,audio_features,4e4fqjx0Izh4svvTef1z7e,spotify:track:4e4fqjx0Izh4svvTef1z7e,https://api.spotify.com/v1/tracks/4e4fqjx0Izh4svvTef1z7e,https://api.spotify.com/v1/audio-analysis/4e4fqjx0Izh4svvTef1z7e,164205,4
Remember (with ZOHARA),0.619,0.902,11,-4.157,0,0.0562,0.0953,0.0405,0.216,0.504,123.002,audio_features,3aFxfpfeATHYg1n750dhgq,spotify:track:3aFxfpfeATHYg1n750dhgq,https://api.spotify.com/v1/tracks/3aFxfpfeATHYg1n750dhgq,https://api.spotify.com/v1/audio-analysis/3aFxfpfeATHYg1n750dhgq,221130,4
NOT SO BAD,0.954,0.538,1,-8.394,1,0.0732,0.133,0.00135,0.0704,0.834,116.976,audio_features,0gzu5mm36VJH2Zqu8sQPTf,spotify:track:0gzu5mm36VJH2Zqu8sQPTf,https://api.spotify.com/v1/tracks/0gzu5mm36VJH2Zqu8sQPTf,https://api.spotify.com/v1/audio-analysis/0gzu5mm36VJH2Zqu8sQPTf,170769,4
Hold Onto Me,0.715,0.668,10,-8.165,1,0.0332,0.469,3.72e-05,0.117,0.67,142.018,audio_features,0a45Bcf67CvGVCIaiydEzq,spotify:track:0a45Bcf67CvGVCIaiydEzq,https://api.spotify.com/v1/tracks/0a45Bcf67CvGVCIaiydEzq,https://api.spotify.com/v1/audio-analysis/0a45Bcf67CvGVCIaiydEzq,205499,4
Dil Mere,0.655,0.473,8,-9.806,1,0.0267,0.842,0.0323,0.167,0.572,92.962,audio_features,6ZmtxXUXRVjxOhugKkmerC,spotify:track:6ZmtxXUXRVjxOhugKkmerC,https://api.spotify.com/v1/tracks/6ZmtxXUXRVjxOhugKkmerC,https://api.spotify.com/v1/audio-analysis/6ZmtxXUXRVjxOhugKkmerC,211290,4
몸매 Mommae (feat. Ugly Duck),0.745,0.669,9,-5.362,0,0.242,0.218,0,0.104,0.681,94.089,audio_features,4mwzUFtpBHJVyBs16YjjPN,spotify:track:4mwzUFtpBHJVyBs16YjjPN,https://api.spotify.com/v1/tracks/4mwzUFtpBHJVyBs16YjjPN,https://api.spotify.com/v1/audio-analysis/4mwzUFtpBHJVyBs16YjjPN,204327,4
Dancing On My Own - Acoustic,0.528,0.0784,1,-11.402,1,0.0413,0.954,1.54e-06,0.151,0.418,117.964,audio_features,7tOAtB2F50KXEkw86frba6,spotify:track:7tOAtB2F50KXEkw86frba6,https://api.spotify.com/v1/tracks/7tOAtB2F50KXEkw86frba6,https://api.spotify.com/v1/audio-analysis/7tOAtB2F50KXEkw86frba6,253482,4
